Type of Job,Marital Status,Education Level,Credit in Default,Loan (Housing loan / Personal loan),Outcomes for Previous Marketing Campaign,Predicted Subscription for Current Campaign
housemaid,married,tertiary,no,H-,failure,no
unemployed,single,tertiary,no,--,success,yes
management,married,primary,no,--,success,yes
technician,married,secondary,no,H-,failure,no
management,divorced,tertiary,no,H-,failure,yes
technician,single,tertiary,no,--,success,yes
technician,single,secondary,no,H-,success,yes
student,single,unknown,no,--,failure,no
management,married,tertiary,no,H-,failure,no
management,married,primary,no,--,failure,no
technician,married,tertiary,no,--,success,yes
admin.,married,secondary,no,--,success,yes
unknown,married,secondary,no,--,failure,no
management,married,tertiary,no,--,failure,no
admin.,single,tertiary,no,H-,success,no
technician,married,secondary,no,H-,failure,yes
housemaid,married,secondary,no,H-,failure,no
services,married,secondary,no,H-,success,yes
management,single,tertiary,no,--,success,yes
management,single,tertiary,no,--,failure,yes
management,married,primary,no,H-,failure,no
admin.,married,tertiary,no,--,success,yes
management,married,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,--,success,yes
self-employed,married,secondary,no,--,success,yes
retired,married,unknown,no,--,failure,no
admin.,single,secondary,no,--,success,yes
management,single,tertiary,no,--,failure,yes
management,single,secondary,no,--,success,no
technician,married,secondary,no,H-,success,yes
management,married,tertiary,no,--,success,yes
blue-collar,married,secondary,no,--,success,no
retired,married,secondary,no,--,failure,yes
admin.,married,secondary,no,--,success,no
management,single,tertiary,no,--,failure,yes
blue-collar,married,primary,no,--,failure,yes
technician,married,secondary,no,HP,failure,no
management,single,tertiary,no,--,failure,yes
admin.,married,secondary,no,H-,failure,no
management,married,tertiary,no,--,failure,yes
admin.,single,secondary,no,HP,success,yes
blue-collar,married,secondary,no,H-,success,yes
student,single,primary,no,--,failure,no
unknown,single,tertiary,no,--,success,yes
housemaid,married,primary,no,--,failure,no
management,married,tertiary,no,--,success,yes
retired,married,secondary,no,--,failure,no
blue-collar,married,secondary,no,H-,failure,yes
technician,divorced,secondary,no,--,failure,yes
management,married,tertiary,no,--,success,yes
management,married,tertiary,no,H-,failure,yes
blue-collar,married,primary,no,--,success,yes
housemaid,married,secondary,no,--,failure,yes
blue-collar,married,secondary,no,--,success,yes
student,single,tertiary,no,--,success,no
management,divorced,tertiary,no,--,success,yes
unemployed,divorced,secondary,no,--,success,yes
management,married,tertiary,no,--,failure,no
management,single,tertiary,no,--,success,yes
management,married,tertiary,no,--,success,no
management,married,tertiary,no,--,success,no
technician,married,tertiary,no,--,success,yes
management,single,tertiary,no,--,success,yes
management,single,tertiary,no,H-,success,yes
technician,married,secondary,no,--,failure,no
management,single,tertiary,no,H-,failure,no
management,single,tertiary,no,H-,failure,no
student,single,secondary,no,H-,success,no
management,single,tertiary,no,--,failure,yes
technician,married,tertiary,no,--,failure,no
retired,married,primary,no,--,success,yes
management,divorced,tertiary,no,--,success,yes
management,single,secondary,no,--,failure,no
blue-collar,married,secondary,no,--,success,yes
admin.,single,tertiary,no,H-,success,yes
management,single,tertiary,no,--,success,yes
management,divorced,tertiary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
retired,married,secondary,no,--,failure,no
technician,single,secondary,no,--,failure,no
student,single,secondary,no,--,failure,no
management,married,tertiary,no,--,success,yes
admin.,single,tertiary,no,--,failure,no
technician,divorced,secondary,no,--,failure,yes
admin.,married,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,--,success,yes
housemaid,married,secondary,no,--,success,no
admin.,married,secondary,no,--,success,no
management,married,tertiary,no,--,success,yes
management,married,tertiary,no,H-,failure,no
student,single,secondary,no,--,success,yes
management,divorced,tertiary,no,--,success,no
technician,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,success,no
management,single,tertiary,no,--,failure,no
housemaid,single,secondary,no,--,failure,no
management,married,tertiary,no,H-,failure,no
technician,married,unknown,no,--,success,yes
blue-collar,married,secondary,no,H-,failure,no
management,single,tertiary,no,H-,failure,yes
management,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,success,yes
management,single,tertiary,no,--,success,no
student,single,secondary,no,--,success,no
entrepreneur,single,secondary,no,H-,failure,no
technician,married,tertiary,no,--,failure,no
retired,married,secondary,no,--,failure,no
admin.,single,secondary,no,--,failure,no
management,divorced,unknown,no,--,success,yes
blue-collar,married,secondary,no,H-,failure,yes
management,single,tertiary,no,--,failure,yes
admin.,married,secondary,no,HP,success,no
admin.,single,tertiary,no,--,failure,yes
admin.,single,secondary,no,--,failure,no
management,single,tertiary,no,--,failure,no
technician,single,tertiary,no,HP,failure,no
unemployed,married,secondary,no,--,success,no
housemaid,married,tertiary,no,--,failure,no
technician,married,tertiary,no,H-,success,yes
retired,married,primary,no,--,success,yes
management,single,tertiary,no,--,success,yes
admin.,married,secondary,no,--,success,yes
admin.,divorced,secondary,no,--,success,yes
management,single,tertiary,no,H-,failure,no
unemployed,married,secondary,no,--,failure,yes
retired,married,tertiary,no,--,failure,no
blue-collar,married,primary,no,--,success,no
admin.,married,secondary,no,--,failure,no
entrepreneur,divorced,secondary,no,H-,success,no
unemployed,married,secondary,no,--,failure,no
entrepreneur,divorced,secondary,no,-P,failure,no
technician,divorced,secondary,no,--,failure,yes
self-employed,married,secondary,no,H-,failure,no
management,single,tertiary,no,--,success,yes
self-employed,divorced,tertiary,no,H-,success,yes
technician,married,unknown,no,H-,failure,no
management,married,tertiary,no,--,failure,no
retired,married,secondary,no,--,success,yes
admin.,divorced,secondary,no,--,failure,yes
technician,married,tertiary,no,--,failure,yes
retired,married,primary,no,--,success,no
student,single,secondary,no,--,success,yes
management,married,tertiary,no,H-,failure,no
technician,married,tertiary,no,H-,success,no
technician,single,tertiary,no,HP,failure,no
technician,married,primary,no,--,failure,yes
admin.,married,secondary,no,--,failure,no
admin.,married,tertiary,no,H-,failure,no
technician,married,secondary,no,H-,success,no
management,single,tertiary,no,--,success,yes
student,single,primary,no,--,success,no
blue-collar,married,primary,no,--,failure,yes
housemaid,married,tertiary,no,--,success,yes
services,married,primary,no,H-,success,yes
unemployed,single,tertiary,no,--,failure,yes
management,married,tertiary,no,--,failure,yes
retired,married,secondary,no,--,failure,yes
retired,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,yes
management,married,tertiary,no,--,success,yes
retired,married,secondary,no,--,success,no
admin.,single,secondary,no,-P,failure,no
retired,married,primary,no,--,failure,no
management,single,tertiary,no,--,failure,no
retired,married,unknown,no,--,failure,yes
technician,married,secondary,no,--,failure,yes
technician,single,tertiary,no,--,failure,yes
blue-collar,single,secondary,no,H-,failure,no
retired,married,primary,no,H-,failure,no
housemaid,divorced,primary,no,--,success,yes
management,single,unknown,no,--,failure,no
admin.,single,tertiary,no,--,failure,no
management,married,unknown,no,HP,failure,no
management,married,secondary,no,--,failure,no
admin.,married,secondary,no,--,failure,no
unemployed,single,secondary,no,--,failure,no
management,married,tertiary,no,--,failure,no
student,single,primary,no,--,failure,yes
technician,married,tertiary,no,--,success,yes
technician,married,secondary,no,HP,failure,no
retired,married,secondary,no,H-,success,yes
technician,married,secondary,no,-P,success,yes
management,single,tertiary,no,--,failure,yes
management,married,tertiary,no,--,success,yes
housemaid,married,primary,no,--,failure,yes
blue-collar,divorced,secondary,no,H-,success,yes
retired,married,tertiary,no,--,failure,no
student,single,tertiary,no,--,success,yes
unemployed,divorced,secondary,no,--,success,yes
management,single,tertiary,no,--,success,yes
self-employed,single,tertiary,no,H-,success,yes
admin.,married,tertiary,no,H-,failure,yes
technician,single,tertiary,no,--,failure,yes
retired,single,tertiary,no,--,success,yes
admin.,divorced,secondary,no,-P,success,yes
technician,single,tertiary,no,--,success,yes
management,single,tertiary,no,H-,success,no
self-employed,married,secondary,no,-P,success,yes
blue-collar,single,secondary,no,--,success,yes
retired,married,primary,no,--,success,yes
services,married,secondary,no,--,failure,no
retired,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,yes
technician,married,secondary,no,--,success,yes
services,divorced,secondary,no,H-,failure,yes
technician,single,unknown,no,--,success,yes
retired,married,primary,no,--,failure,yes
technician,married,secondary,no,H-,success,no
management,married,primary,no,--,failure,yes
management,married,tertiary,no,--,failure,yes
management,married,unknown,no,H-,success,yes
technician,single,secondary,no,--,failure,yes
retired,married,primary,no,--,success,yes
admin.,married,tertiary,no,--,failure,no
admin.,married,secondary,no,--,failure,no
management,divorced,tertiary,no,--,failure,no
retired,married,tertiary,no,--,failure,no
admin.,married,secondary,no,--,failure,no
retired,married,primary,no,--,failure,yes
admin.,married,secondary,no,H-,failure,no
unknown,single,unknown,no,--,success,yes
blue-collar,married,secondary,no,H-,success,no
management,single,tertiary,no,HP,failure,no
technician,single,unknown,no,H-,failure,yes
blue-collar,single,secondary,no,--,failure,yes
management,single,tertiary,no,--,success,yes
services,married,secondary,no,H-,failure,yes
housemaid,married,secondary,no,--,failure,no
technician,married,tertiary,no,--,success,no
housemaid,divorced,secondary,no,--,success,yes
admin.,single,tertiary,no,HP,success,no
housemaid,married,primary,no,--,failure,no
technician,married,secondary,no,H-,failure,no
retired,married,secondary,no,--,failure,no
management,single,tertiary,no,--,success,no
admin.,single,secondary,no,H-,failure,yes
housemaid,married,tertiary,no,--,success,yes
blue-collar,married,secondary,no,--,failure,no
management,single,tertiary,no,--,success,yes
retired,married,tertiary,no,--,failure,yes
technician,married,tertiary,no,--,failure,yes
technician,single,secondary,no,H-,failure,no
management,married,tertiary,no,--,success,yes
blue-collar,married,primary,no,--,failure,no
technician,single,secondary,no,--,failure,yes
retired,married,primary,no,--,failure,no
technician,single,tertiary,no,--,success,no
management,married,tertiary,no,--,failure,yes
housemaid,married,primary,no,--,failure,yes
management,married,tertiary,no,H-,failure,no
management,married,primary,no,--,success,no
student,single,primary,no,--,failure,no
technician,married,tertiary,no,--,failure,no
technician,married,secondary,no,--,failure,no
student,single,tertiary,no,--,success,no
technician,married,secondary,no,-P,failure,yes
self-employed,single,tertiary,no,--,success,yes
admin.,married,tertiary,no,--,success,no
technician,married,secondary,no,H-,failure,no
retired,single,tertiary,no,--,failure,no
management,divorced,tertiary,no,--,failure,yes
technician,married,tertiary,no,HP,failure,no
management,married,secondary,no,HP,failure,yes
management,single,tertiary,no,H-,failure,yes
management,single,tertiary,no,--,failure,no
self-employed,married,tertiary,no,--,failure,yes
management,married,unknown,no,--,success,yes
blue-collar,married,secondary,no,--,failure,no
management,single,tertiary,no,--,failure,yes
unemployed,married,tertiary,no,H-,success,no
unemployed,married,tertiary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
admin.,single,secondary,no,--,failure,no
management,married,tertiary,no,--,failure,yes
management,married,tertiary,no,--,success,no
management,single,tertiary,no,H-,failure,no
technician,married,tertiary,no,H-,failure,no
technician,married,secondary,no,H-,success,yes
technician,married,tertiary,no,--,success,yes
technician,married,secondary,no,--,failure,no
student,married,secondary,no,--,success,yes
management,single,tertiary,no,--,success,yes
self-employed,married,tertiary,no,--,failure,yes
admin.,married,secondary,no,H-,failure,yes
management,single,tertiary,no,--,failure,yes
management,married,tertiary,no,H-,failure,no
student,single,secondary,no,--,failure,yes
technician,single,tertiary,no,H-,failure,no
management,single,tertiary,no,--,success,yes
housemaid,married,secondary,no,H-,success,no
